Network,FamilyName,Alias,FamilyRoleOrder,Instance,LinkNo,LinkNetwork,LinkAlias,LinkDesc
Eloquence,Milo,Tony M,1,1,1,Eloquence,Justin S,Volunteer flyers and event sign-ups start at Tony’s counter; Tony keeps Justin’s plans grounded with real crowd flow.
Eloquence,Milo,Tony M,1,1,2,Eloquence,Rodnar R,"The paperwork gate and the people gate: Rodnar handles approvals; Tony handles trust. They argue, then solve it anyway."
Eloquence,Milo,Tony M,1,1,3,Eloquence,John P,"Quiet booth, quiet questions. John cross-checks details; Tony remembers faces and patterns."
Eloquence,Milo,Tony M,1,1,4,Eloquence,Karter H,"Frat manpower helps when it matters; Tony doesn’t tolerate entitlement, so Karter learns to show up first and negotiate second."
Eloquence,Milo,Tony M,1,1,5,Eloquence,Peter G,A repeat customer who listens more than he talks; Peter becomes Tony’s go-to for quick errands and late-night checks.
Eloquence,Milo,Tony M,1,1,6,Eloquence,Joe B,Joe knows the regulars and the troublemakers; Tony trusts him to spot a problem before it becomes a scene.
Eloquence,Milo,Tony M,1,1,7,Eloquence,Xano D,Same ‘earned it the hard way’ energy. Xano and Tony keep each other honest without ever getting sentimental about it.
Eloquence,Milo,Tony M,1,1,8,Transcendence,Benedict C,Father Ben helps without asking for credit; Tony feeds the helpers and makes sure Ben gets home safe after long nights.
Eloquence,Milo,Tony M,1,1,9,Cunning,Quinton J,They share a dry humor that shows up in short lines and longer pauses.
Eloquence,Milo,Tony M,1,1,10,Prominence,Ryan D,"Tony and Ryan keep it light: quick banter, mutual respect, and no pressure to perform."
Eloquence,Milo,Justin S,1,2,1,Eloquence,Peter G,Council momentum: Justin handles the moving parts while Milo carries the title. They keep each other from getting trapped by optics.
Eloquence,Milo,Justin S,1,2,2,Eloquence,Joe B,A sharp rivalry disguised as procedure. Justin learns to read what Nade wants without ever saying it out loud.
Eloquence,Milo,Justin S,1,2,3,Eloquence,John P,Justin brings questions; John brings receipts. Together they turn rumor into something actionable.
Eloquence,Milo,Justin S,1,2,4,Eloquence,Rodnar R,"Rodnar approves or blocks the build phases; Justin learns the art of asking the right way, at the right time."
Eloquence,Milo,Justin S,1,2,5,Eloquence,Karter H,Karter can summon bodies and muscle; Justin can summon purpose. Their alliance works when they respect each other’s lanes.
Eloquence,Milo,Justin S,1,2,6,Eloquence,Tony M,"Coffee, flyers, and a calm place to coordinate. Tony’s counter is Justin’s unofficial command post."
Eloquence,Milo,Justin S,1,2,7,Eloquence,Xano D,Xano doesn’t care about speeches—he cares about follow-through. Justin earns his support by showing up.
Eloquence,Milo,Justin S,1,2,8,Transcendence,Benedict C,Father Ben keeps volunteers steady when nerves spike. Justin trusts Ben with the human side of chaos.
Eloquence,Milo,Justin S,1,2,9,Glamour,London F,"Justin and London keep it light: quick banter, mutual respect, and no pressure to perform."
Eloquence,Milo,Justin S,1,2,10,Cunning,Milan P,Justin likes how Milan stays steady. It makes the time together feel simpler.
Eloquence,Milo,Rodnar R,1,3,1,Eloquence,John P,A lock-and-key partnership: Rodnar controls access; John controls memory. They protect each other’s blind spots.
Eloquence,Milo,Rodnar R,1,3,2,Eloquence,Karter H,Frat chaos meets administrative gravity. Rodnar keeps Karter from turning problems into scandals.
Eloquence,Milo,Rodnar R,1,3,3,Eloquence,Justin S,"Forms, permits, and approvals—Justin brings the plan, Rodnar tests whether it survives reality."
Eloquence,Milo,Rodnar R,1,3,4,Eloquence,Tony M,Rodnar’s partner is a regular at Tony’s place; that simple habit becomes an unexpected trust bridge.
Eloquence,Milo,Rodnar R,1,3,5,Eloquence,Peter G,"Ben’s steady presence calms the loudest rooms. Rodnar respects him because he works, not because he speaks."
Eloquence,Milo,Rodnar R,1,3,6,Eloquence,Joe B,"Standards, committees, and institutional pressure. Criss is the kind of ‘help’ Rodnar never accepts for free."
Eloquence,Milo,Rodnar R,1,3,7,Eloquence,Xano D,Funding has a shadow attached. Rodnar reads Filthy like a contract: every favor has an interest rate.
Eloquence,Milo,Rodnar R,1,3,8,Transcendence,Benedict C,"Ben’s steady presence calms the loudest rooms. Rodnar respects him because he works, not because he speaks."
Eloquence,Milo,Rodnar R,1,3,9,Affluence,Criss S,"Rodnar and Criss click through routine—small check-ins, small favors, no speeches."
Eloquence,Milo,Rodnar R,1,3,10,Affluence,Filthy R,Rodnar likes how Filthy stays steady. It makes the time together feel simpler.
Eloquence,Milo,John P,1,4,1,Eloquence,Rodnar R,John keeps the receipts; Rodnar keeps the doors. Together they decide what becomes history and what disappears.
Eloquence,Milo,John P,1,4,2,Eloquence,Justin S,Justin’s questions sharpen John’s focus. John’s evidence keeps Justin from getting played by rumors.
Eloquence,Milo,John P,1,4,3,Eloquence,Peter G,Library policy becomes politics fast. John quietly coaches Milo on how to win without becoming a symbol.
Eloquence,Milo,John P,1,4,4,Eloquence,Joe B,Ben’s weekly events bring people into safe routines; John uses the calm to rebuild community knowledge.
Eloquence,Milo,John P,1,4,5,Eloquence,Tony M,Tony sees patterns in people; John sees patterns in paper. They trade notes without calling it ‘intel.’
Eloquence,Milo,John P,1,4,6,Eloquence,Karter H,"John has rules; Karter has impulses. Their friction is constant, but so is their usefulness to each other."
Eloquence,Milo,John P,1,4,7,Eloquence,Xano D,Criss smiles like a policy memo. John treats him as a potential problem until proven otherwise.
Eloquence,Milo,John P,1,4,8,Transcendence,Benedict C,Ben’s weekly events bring people into safe routines; John uses the calm to rebuild community knowledge.
Eloquence,Milo,John P,1,4,9,Affluence,Criss S,"John and Criss click through routine—small check-ins, small favors, no speeches."
Eloquence,Milo,John P,1,4,10,Affluence,Filthy R,John likes how Filthy stays steady. It makes the time together feel simpler.
Eloquence,Milo,Karter H,1,5,1,Eloquence,Tony M,"Needs food, manpower, and a place that feels real. Tony gives nothing away for free—Karter respects that."
Eloquence,Milo,Karter H,1,5,2,Eloquence,Justin S,Justin can turn Karter’s energy into something productive. Karter can turn Justin’s plans into action.
Eloquence,Milo,Karter H,1,5,3,Eloquence,Rodnar R,Rodnar can shut the whole thing down with a signature. Karter learns when to comply and when to negotiate.
Eloquence,Milo,Karter H,1,5,4,Eloquence,John P,John sees through excuses. Karter keeps trying anyway. It’s an arms race in manners.
Eloquence,Milo,Karter H,1,5,5,Eloquence,Peter G,Peter is the calm teammate Karter listens to when ego starts driving.
Eloquence,Milo,Karter H,1,5,6,Eloquence,Joe B,Joe keeps the frat from doing something dumb in public. Karter pretends he doesn’t need that help.
Eloquence,Milo,Karter H,1,5,7,Eloquence,Xano D,Xano’s discipline is the only ‘speech’ Karter actually absorbs. Coach’s approval matters to him more than he admits.
Eloquence,Milo,Karter H,1,5,8,Transcendence,Benedict C,Father Ben is the one adult Karter won’t posture around. Ben treats him like a person worth fixing.
Eloquence,Milo,Karter H,1,5,9,Imperium,Zack D,"Zack’s intensity keeps Karter sharp. They don’t agree often, but when they do, it’s because something real is on the line."
Eloquence,Milo,Karter H,1,5,10,Imperium,Kyle M,"Kyle brings a steadier rhythm that Karter respects—less noise, more follow-through, and an understanding that not every win needs an audience."
Eloquence,Milo,Peter G,1,6,1,Eloquence,Joe B,A tight friendship built on trust and shared routines—Joe’s the one Peter calls first.
Eloquence,Milo,Peter G,1,6,2,Eloquence,Tony M,A steady regular. Tony’s place becomes Peter’s anchor between school stress and night work.
Eloquence,Milo,Peter G,1,6,3,Eloquence,Justin S,"Peter supports Justin’s builds when it’s practical—quiet help, no spotlight."
Eloquence,Milo,Peter G,1,6,4,Eloquence,Karter H,Karter pulls Peter into frat problems; Peter pulls Karter back to consequences.
Eloquence,Milo,Peter G,1,6,5,Eloquence,Xano D,"Training, discipline, and a coach who demands follow-through. Peter responds well to that."
Eloquence,Milo,Peter G,1,6,6,Eloquence,John P,Study help and careful research; John teaches Peter how to verify instead of guessing.
Eloquence,Milo,Peter G,1,6,7,Eloquence,Rodnar R,Peter is often the messenger when others are too heated to talk. Rodnar respects that restraint.
Eloquence,Milo,Peter G,1,6,8,Transcendence,Benedict C,Ben remembers Peter’s name and asks real questions. That simple habit keeps Peter coming back.
Eloquence,Milo,Peter G,1,6,9,Glamour,Danny M,They share a dry humor that shows up in short lines and longer pauses.
Eloquence,Milo,Peter G,1,6,10,Transcendence,Delman B,Delman brings energy; Peter brings calm. It’s a balance that just works.
Eloquence,Milo,Joe B,1,7,1,Eloquence,Peter G,Joe trusts Peter’s judgment; Peter trusts Joe’s instincts. They keep each other out of trouble.
Eloquence,Milo,Joe B,1,7,2,Eloquence,Tony M,Tony’s counter is Joe’s community radar. Joe helps keep the space safe without making it a big deal.
Eloquence,Milo,Joe B,1,7,3,Eloquence,Justin S,"Joe knows Justin through the network and shows up when the work is physical, not political."
Eloquence,Milo,Joe B,1,7,4,Eloquence,Karter H,Karter’s plans sometimes need a ‘no.’ Joe is willing to be that ‘no’ in private.
Eloquence,Milo,Joe B,1,7,5,Eloquence,Xano D,Joe respects Xano’s standards and doesn’t talk back when Coach calls him out.
Eloquence,Milo,Joe B,1,7,6,Eloquence,John P,John helps Joe with academics; Joe helps John with anything that requires a backbone outside the library.
Eloquence,Milo,Joe B,1,7,7,Eloquence,Rodnar R,Joe is the guy Rodnar can use for quiet logistics without triggering attention.
Eloquence,Milo,Joe B,1,7,8,Transcendence,Benedict C,Ben’s presence lowers Joe’s guard. Joe ends up volunteering more than he intended.
Eloquence,Milo,Joe B,1,7,9,Imperium,Luke C,"Joe and Luke keep it light: quick banter, mutual respect, and no pressure to perform."
Eloquence,Milo,Joe B,1,7,10,Transcendence,Hank F,"Hank doesn’t talk much, but his presence is steady. Joe treats that like gold."
Eloquence,Milo,Xano D,1,8,1,Eloquence,Peter G,"Ben’s mission makes sense to Xano: work first, talk later. They move as a two-man stabilizer crew."
Eloquence,Milo,Xano D,1,8,2,Eloquence,Joe B,Dorm-era history and ‘quiet grind’ respect. Xano’s vouch opens a safe lane into Eloquence situations.
Eloquence,Milo,Xano D,1,8,3,Eloquence,Justin S,Justin brings structure; Xano brings discipline. Together they keep volunteers from burning out.
Eloquence,Milo,Xano D,1,8,4,Eloquence,Rodnar R,Xano is Rodnar’s bridge to students when admin talk won’t land.
Eloquence,Milo,Xano D,1,8,5,Eloquence,John P,John can find what was ‘lost’ in paperwork; Xano can keep people focused long enough to act on it.
Eloquence,Milo,Xano D,1,8,6,Eloquence,Karter H,Xano keeps Karter honest through training and expectations—no speeches required.
Eloquence,Milo,Xano D,1,8,7,Eloquence,Tony M,"Same roots, same work ethic. Tony and Xano share the ‘show up’ code without naming it."
Eloquence,Milo,Xano D,1,8,8,Eloquence,Peter G,Peter listens. Xano invests in listeners because they’re the ones who last.
Eloquence,Milo,Xano D,1,8,9,Opulence,Jmac,Xano likes how Jmac stays steady. It makes the time together feel simpler.
Eloquence,Milo,Xano D,1,8,10,Imperium,Zack D,They share a dry humor that shows up in short lines and longer pauses.
Cunning,Kevin,Quinton J,2,1,1,Cunning,Milan P,The Kitchen Ghost. Trades favors for clean stock and quiet meals.
Cunning,Kevin,Quinton J,2,1,2,Cunning,Max S,The Barber-Spotter. Reads Quinton’s tells before Quinton notices them.
Cunning,Kevin,Quinton J,2,1,3,Cunning,Andrew B,The Audit Fanboy. Easily redirected with the right numbers.
Cunning,Kevin,Quinton J,2,1,4,Cunning,Brock C,The Claims Referee. Calls it “data hygiene” and makes it sound illegal.
Cunning,Kevin,Quinton J,2,1,5,Cunning,Ramon N,The Device Guy. Keeps Quinton’s trail looking boring.
Cunning,Kevin,Quinton J,2,1,6,Cunning,Alex L,The Risk Sniffer. Flags the two steps Quinton pretends aren’t there.
Cunning,Kevin,Quinton J,2,1,7,Cunning,Danny S,The Noise Cover. Sax + paperwork means nobody listens to Quinton.
Cunning,Kevin,Quinton J,2,1,8,Transcendence,Delman B,The Pole-Climber. Gets eyes on rooftops when the store cams go blind.
Cunning,Kevin,Quinton J,2,1,9,Eloquence,Tony M,They share a dry humor that shows up in short lines and longer pauses.
Cunning,Kevin,Quinton J,2,1,10,Opulence,Jmac,Quinton likes how Jmac stays steady. It makes the time together feel simpler.
Cunning,Kevin,Milan P,2,2,1,Cunning,Quinton J,The Pharmacy Runner. Keeps Milan stocked without questions.
Cunning,Kevin,Milan P,2,2,2,Cunning,Max S,The Clean Cut. Fixes Milan’s “I haven’t slept” face in ten minutes.
Cunning,Kevin,Milan P,2,2,3,Cunning,Andrew B,The Spreadsheet Spoon. Counts portions like they’re liabilities.
Cunning,Kevin,Milan P,2,2,4,Cunning,Brock C,The Deadpan Judge. Gives Milan “golf rules” for kitchen chaos.
Cunning,Kevin,Milan P,2,2,5,Cunning,Ramon N,"The Systems Admin. Keeps the burners, timers, and records from snitching."
Cunning,Kevin,Milan P,2,2,6,Cunning,Alex L,"The Safety Lane. Forces Milan to tape the cords, every time."
Cunning,Kevin,Milan P,2,2,7,Cunning,Danny S,The Tempo Guy. Milan cooks to that sax whether he admits it or not.
Cunning,Kevin,Milan P,2,2,8,Transcendence,Delman B,The Grid Whisperer. Knows which breaker to flip when the kitchen needs darkness.
Cunning,Kevin,Milan P,2,2,9,Eloquence,Justin S,Milan likes how Justin stays steady. It makes the time together feel simpler.
Cunning,Kevin,Milan P,2,2,10,Affluence,Eddie D,"Milan and Eddie click through routine—small check-ins, small favors, no speeches."
Cunning,Kevin,Max S,2,3,1,Cunning,Quinton J,The Regular. Talks too much; Max remembers all of it.
Cunning,Kevin,Max S,2,3,2,Cunning,Milan P,The Lunch Hook. Pays in food and bad advice.
Cunning,Kevin,Max S,2,3,3,Cunning,Andrew B,The Mirror Check. Max trims him; Andrew tries to audit the price.
Cunning,Kevin,Max S,2,3,4,Cunning,Brock C,The Heckler. Calls it “fade variance” with a straight face.
Cunning,Kevin,Max S,2,3,5,Cunning,Ramon N,The Tablet Buddy. Swaps gossip for quick fixes.
Cunning,Kevin,Max S,2,3,6,Cunning,Alex L,The Boundary Line. Keeps Max’s shop from turning into a meeting room.
Cunning,Kevin,Max S,2,3,7,Cunning,Danny S,The Walk-In Music. Sax riffs become free advertising.
Cunning,Kevin,Max S,2,3,8,Transcendence,Delman B,The High-Rise Client. Leaves dust on the chair; Max doesn’t ask why.
Cunning,Kevin,Max S,2,3,9,Transcendence,Thomas B,They’re the kind of link that can go quiet for weeks and still feel normal after.
Cunning,Kevin,Max S,2,3,10,Imperium,Luke C,Max trusts Luke’s read of a room. Even disagreements stay clean.
Cunning,Kevin,Andrew B,2,4,1,Cunning,Quinton J,The “Mentor.” Quinton hands him numbers that go nowhere.
Cunning,Kevin,Andrew B,2,4,2,Cunning,Milan P,The Budget Threat. Milan feeds him; Andrew still complains.
Cunning,Kevin,Andrew B,2,4,3,Cunning,Max S,The Reset Button. One haircut and Andrew remembers to breathe.
Cunning,Kevin,Andrew B,2,4,4,Cunning,Brock C,The Documentary Voice. Brock narrates Andrew’s mistakes in real time.
Cunning,Kevin,Andrew B,2,4,5,Cunning,Ramon N,The Paper Shield. Ramon turns panic into a checklist.
Cunning,Kevin,Andrew B,2,4,6,Cunning,Alex L,The Compliance Hammer. Alex is why Andrew follows rules.
Cunning,Kevin,Andrew B,2,4,7,Cunning,Danny S,The Wake-Up Call. Sax at 2 PM is not an accident.
Cunning,Kevin,Andrew B,2,4,8,Transcendence,Delman B,The Field Lesson. One ladder and Andrew suddenly respects safety.
Cunning,Kevin,Andrew B,2,4,9,Transcendence,Benedict C,"Andrew and Benedict click through routine—small check-ins, small favors, no speeches."
Cunning,Kevin,Andrew B,2,4,10,Imperium,Josh R,They’re the kind of link that can go quiet for weeks and still feel normal after.
Cunning,Kevin,Brock C,2,5,1,Cunning,Quinton J,The Liability. Brock sees the slip-and-fall before it happens.
Cunning,Kevin,Brock C,2,5,2,Cunning,Milan P,The Side Bet. Brock measures Milan’s chaos in putts.
Cunning,Kevin,Brock C,2,5,3,Cunning,Max S,The Cut Critic. Official statement: “Acceptable. Continue.”
Cunning,Kevin,Brock C,2,5,4,Cunning,Andrew B,The Case Study. Brock files him under “repeat offender (administrative).”
Cunning,Kevin,Brock C,2,5,5,Cunning,Ramon N,The Quiet Fix. Ramon patches; Brock signs the report.
Cunning,Kevin,Brock C,2,5,6,Cunning,Alex L,The Risk Partner. They argue; the plan improves.
Cunning,Kevin,Brock C,2,5,7,Cunning,Danny S,The Soundtrack. Brock pretends to hate it. He doesn’t.
Cunning,Kevin,Brock C,2,5,8,Transcendence,Delman B,The Height Problem. Brock notices missing harnesses before anyone else does.
Cunning,Kevin,Brock C,2,5,9,Prominence,Brick D,Brick brings energy; Brock brings calm. It’s a balance that just works.
Cunning,Kevin,Brock C,2,5,10,Transcendence,Rian R,They share a dry humor that shows up in short lines and longer pauses.
Cunning,Kevin,Ramon N,2,6,1,Cunning,Quinton J,The Streamer. Ramon makes his traffic look like weather.
Cunning,Kevin,Ramon N,2,6,2,Cunning,Milan P,The Burner. Keeps Milan’s gear “accidentally” untraceable.
Cunning,Kevin,Ramon N,2,6,3,Cunning,Max S,The Shop Wi‑Fi. Ramon keeps it alive; Max keeps him fed with gossip.
Cunning,Kevin,Ramon N,2,6,4,Cunning,Andrew B,The Panic Buffer. Ramon turns “oh no” into a checklist.
Cunning,Kevin,Ramon N,2,6,5,Cunning,Brock C,The Claims Loop. Ramon brings receipts; Brock makes them hurt.
Cunning,Kevin,Ramon N,2,6,6,Cunning,Alex L,The Red Team. Alex tests; Ramon hardens.
Cunning,Kevin,Ramon N,2,6,7,Cunning,Danny S,The Night Ping. Danny texts at weird hours; Ramon answers anyway.
Cunning,Kevin,Ramon N,2,6,8,Transcendence,Delman B,"The Tool Twin. Analog hands, digital brain — same language."
Cunning,Kevin,Ramon N,2,6,9,Glamour,GI J,"Ramon and GI click through routine—small check-ins, small favors, no speeches."
Cunning,Kevin,Ramon N,2,6,10,Transcendence,Tate H,"Ramon and Tate click through routine—small check-ins, small favors, no speeches."
Cunning,Kevin,Alex L,2,7,1,Cunning,Quinton J,The Risk Flag. Alex tags his habits with sticky notes in her head.
Cunning,Kevin,Alex L,2,7,2,Cunning,Milan P,The Hazard Audit. Keeps him from lighting the wrong thing.
Cunning,Kevin,Alex L,2,7,3,Cunning,Max S,The Sightlines. Alex likes Max’s shop because it has exits.
Cunning,Kevin,Alex L,2,7,4,Cunning,Andrew B,The Accountability. Alex doesn’t care how sweet his smile is.
Cunning,Kevin,Alex L,2,7,5,Cunning,Brock C,The Co-Sign. Brock’s deadpan + Alex’s logic = bad day for liars.
Cunning,Kevin,Alex L,2,7,6,Cunning,Ramon N,The System Probe. Alex breaks it; Ramon fixes it better.
Cunning,Kevin,Alex L,2,7,7,Cunning,Danny S,The Distraction Use. Danny’s chaos is sometimes the plan.
Cunning,Kevin,Alex L,2,7,8,Transcendence,Delman B,The Safety Fight. Alex tries to keep him grounded. He climbs anyway.
Cunning,Kevin,Alex L,2,7,9,Prominence,Oliver F,Oliver brings energy; Alex brings calm. It’s a balance that just works.
Cunning,Kevin,Alex L,2,7,10,Glamour,Max C,Alex trusts Max’s read of a room. Even disagreements stay clean.
Cunning,Kevin,Danny S,2,8,1,Cunning,Quinton J,The Errand Buddy. Danny asks for cough drops; Quinton provides.
Cunning,Kevin,Danny S,2,8,2,Cunning,Milan P,The After-Hours Food. Milan trades plates for practice space.
Cunning,Kevin,Danny S,2,8,3,Cunning,Max S,The Cut Before Show. Max trims him; Danny leaves a tip and a riff.
Cunning,Kevin,Danny S,2,8,4,Cunning,Andrew B,The Button Pusher. Danny tests how fast Andrew cracks.
Cunning,Kevin,Danny S,2,8,5,Cunning,Brock C,The Heckle Wall. Brock’s deadpan lines are Danny’s favorite.
Cunning,Kevin,Danny S,2,8,6,Cunning,Ramon N,The Midnight Helpdesk. Danny calls; Ramon grumbles; it works.
Cunning,Kevin,Danny S,2,8,7,Cunning,Alex L,The Boundary Checker. Alex is why Danny doesn’t freestyle in meetings.
Cunning,Kevin,Danny S,2,8,8,Transcendence,Delman B,The Rooftop Jam. Delman likes the quiet; Danny likes the echo.
Cunning,Kevin,Danny S,2,8,9,Affluence,Kai J,Danny likes how Kai stays steady. It makes the time together feel simpler.
Cunning,Kevin,Danny S,2,8,10,Prominence,Ryan D,Ryan brings energy; Danny brings calm. It’s a balance that just works.
Opulence,William,Jay P,3,1,1,Opulence,Colton C,The Fixer. Cleans up his messes.
Opulence,William,Jay P,3,1,2,Opulence,Tommy P,The Supplier. Provides 'party favors'.
Opulence,William,Jay P,3,1,3,Opulence,Ridge C,The Guard. Keeps the riff-raff out.
Opulence,William,Jay P,3,1,4,Opulence,Jason S,The Commander. Takes orders from Jason S.
Opulence,William,Jay P,3,1,5,Opulence,Juan L,The Chef. Demands exotic menus.
Opulence,William,Jay P,3,1,6,Opulence,Adam L,The Source. Buys organic produce for parties.
Opulence,William,Jay P,3,1,7,Opulence,Jmac,The Driver. Treats him like a servant.
Opulence,William,Jay P,3,1,8,Transcendence,Hank F,House Medic. Keeps Jay presentable when nights get reckless.
Opulence,William,Jay P,3,1,9,Prominence,Tommy W,They’re the kind of link that can go quiet for weeks and still feel normal after.
Opulence,William,Jay P,3,1,10,Affluence,Apollo B,Apollo brings energy; Jay brings calm. It’s a balance that just works.
Opulence,William,Colton C,3,2,1,Opulence,Jay P,The Client. His primary source of income and stress.
Opulence,William,Colton C,3,2,2,Opulence,Tommy P,The Liability. Frequently gets arrested.
Opulence,William,Colton C,3,2,3,Opulence,Ridge C,The Muscle. Uses Ridge for intimidation.
Opulence,William,Colton C,3,2,4,Opulence,Jason S,The Ally. Relies on Jason for operational support.
Opulence,William,Colton C,3,2,5,Opulence,Juan L,The Caterer. Hires Juan for firm dinners.
Opulence,William,Colton C,3,2,6,Opulence,Adam L,The Landowner. Manages Adam's property deeds.
Opulence,William,Colton C,3,2,7,Opulence,Jmac,The Driver. Uses Jmac for secure transport.
Opulence,William,Colton C,3,2,8,Transcendence,Hank F,Liability Buffer. Quietly patches problems before they become cases.
Opulence,William,Colton C,3,2,9,Imperium,Josh R,"Colton and Josh click through routine—small check-ins, small favors, no speeches."
Opulence,William,Colton C,3,2,10,Glamour,Ray R,"Colton and Ray keep it light: quick banter, mutual respect, and no pressure to perform."
Opulence,William,Tommy P,3,3,1,Opulence,Jay P,The Best Customer. Buys in bulk.
Opulence,William,Tommy P,3,3,2,Opulence,Colton C,The Savior. Keeps him free.
Opulence,William,Tommy P,3,3,3,Opulence,Ridge C,The Bouncer. Uses Ridge for security.
Opulence,William,Tommy P,3,3,4,Opulence,Jason S,The Observer. Jason monitors his activities.
Opulence,William,Tommy P,3,3,5,Opulence,Juan L,The Snob. Hates Juan's food.
Opulence,William,Tommy P,3,3,6,Opulence,Adam L,The Hick. Mocks Adam's farm life.
Opulence,William,Tommy P,3,3,7,Opulence,Jmac,The Ride. Jmac drives him around.
Opulence,William,Tommy P,3,3,8,Transcendence,Hank F,Bad Luck Magnet. Hank’s patience is tested by Tommy’s chaos.
Opulence,William,Tommy P,3,3,9,Imperium,Kyle M,They share a dry humor that shows up in short lines and longer pauses.
Opulence,William,Tommy P,3,3,10,Glamour,Parker S,"Tommy and Parker keep it light: quick banter, mutual respect, and no pressure to perform."
Opulence,William,Ridge C,3,4,1,Opulence,Jay P,The Principal. Protects Jay P.
Opulence,William,Ridge C,3,4,2,Opulence,Colton C,The Boss. Takes orders from Colton.
Opulence,William,Ridge C,3,4,3,Opulence,Tommy P,The Annoyance. Keeps Tommy safe.
Opulence,William,Ridge C,3,4,4,Opulence,Jason S,The Peer. Respects Jason S's authority.
Opulence,William,Ridge C,3,4,5,Opulence,Juan L,The Feeder. Eats Juan's leftovers.
Opulence,William,Ridge C,3,4,6,Opulence,Adam L,The Strongman. Respects Adam's strength.
Opulence,William,Ridge C,3,4,7,Opulence,Jmac,The Driver. Works well with Jmac.
Opulence,William,Ridge C,3,4,8,Transcendence,Hank F,Respect-by-Results. Ridge trusts the calm hands more than the talk.
Opulence,William,Ridge C,3,4,9,Glamour,Cyrus K,Ridge trusts Cyrus’s read of a room. Even disagreements stay clean.
Opulence,William,Ridge C,3,4,10,Prominence,Sam S,They’re the kind of link that can go quiet for weeks and still feel normal after.
Opulence,William,Jason S,3,5,1,Opulence,Jay P,The Commander. Organizes Jay P's events.
Opulence,William,Jason S,3,5,2,Opulence,Colton C,The Strategist. Handles logistics for Colton C.
Opulence,William,Jason S,3,5,3,Opulence,Tommy P,The Advisor. Monitors Tommy P's activities.
Opulence,William,Jason S,3,5,4,Opulence,Ridge C,The Ally. Coordinates with Ridge for security.
Opulence,William,Jason S,3,5,5,Opulence,Juan L,The Cook. Monitors Juan's kitchen for quality.
Opulence,William,Jason S,3,5,6,Opulence,Adam L,The Peer. Works with Adam L daily.
Opulence,William,Jason S,3,5,7,Opulence,Jmac,The Mechanic. Fixes Jason's equipment.
Opulence,William,Jason S,3,5,8,Transcendence,Hank F,Medical Asset. Jason keeps Hank close for contingencies and cleanup.
Opulence,William,Jason S,3,5,9,Prominence,Dan D,Jason likes how Dan stays steady. It makes the time together feel simpler.
Opulence,William,Jason S,3,5,10,Prominence,Richard G,They share a dry humor that shows up in short lines and longer pauses.
Opulence,William,Juan L,3,6,1,Opulence,Adam L,The Farmer. Sourcing partner.
Opulence,William,Juan L,3,6,2,Opulence,Jay P,The Patron. Funds his kitchen.
Opulence,William,Juan L,3,6,3,Opulence,Colton C,The Fixer. Keeps health inspectors away.
Opulence,William,Juan L,3,6,4,Opulence,Ridge C,The Feeder. Eats Juan's leftovers.
Opulence,William,Juan L,3,6,5,Opulence,Jason S,The Critic. Finds Jason annoying.
Opulence,William,Juan L,3,6,6,Opulence,Tommy P,The Philistine. Hates Tommy's palate.
Opulence,William,Juan L,3,6,7,Opulence,Jmac,The Delivery. Jmac brings supplies.
Opulence,William,Juan L,3,6,8,Transcendence,Hank F,Kitchen Ally. Appreciates Hank’s steady routine and no-drama presence.
Opulence,William,Juan L,3,6,9,Transcendence,Benedict C,Juan likes how Benedict stays steady. It makes the time together feel simpler.
Opulence,William,Juan L,3,6,10,Prominence,Oliver F,"Juan and Oliver click through routine—small check-ins, small favors, no speeches."
Opulence,William,Adam L,3,7,1,Opulence,Juan L,The Buyer. Respects Juan's taste.
Opulence,William,Adam L,3,7,2,Opulence,Colton C,The Lawyer. Manages his property deeds.
Opulence,William,Adam L,3,7,3,Opulence,Jason S,The Peer. Works with Jason S daily.
Opulence,William,Adam L,3,7,4,Opulence,Ridge C,The Peer. Respects Ridge's strength.
Opulence,William,Adam L,3,7,5,Opulence,Jay P,The Landlord. Pays rent to Jay P's family.
Opulence,William,Adam L,3,7,6,Opulence,Tommy P,The Idiot. Chases Tommy off his land.
