Network,FamilyName,Alias,FamilyRoleOrder,Instance,LinkNo,LinkNetwork,LinkAlias,LinkDesc
Opulence,William,Adam L,3,7,7,Opulence,Jmac,The Hauler. Uses Jmac for transport.
Opulence,William,Adam L,3,7,8,Transcendence,Hank F,Farm Call. Counts on Hank for emergencies far from the estate.
Opulence,William,Adam L,3,7,9,Glamour,GI J,"Adam and GI click through routine—small check-ins, small favors, no speeches."
Opulence,William,Adam L,3,7,10,Glamour,Thor J,Thor brings energy; Adam brings calm. It’s a balance that just works.
Opulence,William,Jmac,3,8,1,Opulence,Jay P,The Boss. Drives his limos.
Opulence,William,Jmac,3,8,2,Opulence,Tommy P,The Party. Drives his party bus.
Opulence,William,Jmac,3,8,3,Opulence,Adam L,The Work. Fixes his trucks.
Opulence,William,Jmac,3,8,4,Opulence,Colton C,The Getaway. Drives Colton securely.
Opulence,William,Jmac,3,8,5,Opulence,Ridge C,The Cargo. Transports Ridge.
Opulence,William,Jmac,3,8,6,Opulence,Jason S,The Commander. Fixes his equipment.
Opulence,William,Jmac,3,8,7,Opulence,Juan L,The Delivery. Delivers Juan's food.
Opulence,William,Jmac,3,8,8,Transcendence,Hank F,Road Partner. Coordinates fast pickups when minutes matter.
Opulence,William,Jmac,3,8,9,Eloquence,Xano D,Jmac likes how Xano stays steady. It makes the time together feel simpler.
Opulence,William,Jmac,3,8,10,Cunning,Quinton J,Jmac likes how Quinton stays steady. It makes the time together feel simpler.
Glamour,Sebastian,Cyrus K,4,1,1,Glamour,London F,MSJ cover guardian. Cyrus grants access; London tests it daily.
Glamour,Sebastian,Cyrus K,4,1,2,Glamour,Ray R,External drop hub. Ray runs face-to-face handoffs and stays clean.
Glamour,Sebastian,Cyrus K,4,1,3,Glamour,Danny M,Paranoia supplier. Danny demands extra layers; Cyrus never laughs.
Glamour,Sebastian,Cyrus K,4,1,4,Glamour,Max C,Field rhythm mismatch. Max improvises; Cyrus pre-stages backups anyway.
Glamour,Sebastian,Cyrus K,4,1,5,Glamour,GI J,Quiet approval. GI only nods when the kit is truly solid.
Glamour,Sebastian,Cyrus K,4,1,6,Glamour,Parker S,Systems handshake. Parker hardens Cyrus’s node and cameras.
Glamour,Sebastian,Cyrus K,4,1,7,Glamour,Thor J,Explosive appetite. Cyrus rejects half his shopping list.
Glamour,Sebastian,Cyrus K,4,1,8,Transcendence,Severin S,Public heat sink. Cyrus feeds him safe cover stories and exits.
Glamour,Sebastian,Cyrus K,4,1,9,Opulence,Ridge C,Cyrus trusts Ridge’s read of a room. Even disagreements stay clean.
Glamour,Sebastian,Cyrus K,4,1,10,Prominence,Richard G,Cyrus likes how Richard stays steady. It makes the time together feel simpler.
Glamour,Sebastian,London F,4,2,1,Glamour,Cyrus K,Gate etiquette. London respects the lock; argues over method.
Glamour,Sebastian,London F,4,2,2,Glamour,Ray R,Outside eyes. Ray flags arrivals; London decides who gets near.
Glamour,Sebastian,London F,4,2,3,Glamour,Danny M,Training target. Danny copies his stance; London corrects it.
Glamour,Sebastian,London F,4,2,4,Glamour,Max C,Precision vs flair. London keeps Max’s chaos from spilling.
Glamour,Sebastian,London F,4,2,5,Glamour,GI J,Sparing partner. They test range-to-blade transitions.
Glamour,Sebastian,London F,4,2,6,Glamour,Parker S,Comms discipline. London forces quiet; Parker learns.
Glamour,Sebastian,London F,4,2,7,Glamour,Thor J,Noise tax. Thor’s blasts ruin stealth; London makes him pay in drills.
Glamour,Sebastian,London F,4,2,8,Transcendence,Severin S,Image shield. London moves him like a VIP through choke points.
Glamour,Sebastian,London F,4,2,9,Eloquence,Justin S,"London and Justin keep it light: quick banter, mutual respect, and no pressure to perform."
Glamour,Sebastian,London F,4,2,10,Prominence,Tommy W,"London and Tommy click through routine—small check-ins, small favors, no speeches."
Glamour,Sebastian,Ray R,4,3,1,Glamour,Cyrus K,Route custodian. Cyrus sets windows; Ray enforces them.
Glamour,Sebastian,Ray R,4,3,2,Glamour,London F,North-route sentinel. London’s presence keeps Ray’s bar quiet.
Glamour,Sebastian,Ray R,4,3,3,Glamour,Danny M,Rumor sieve. Danny feeds paranoia; Ray filters what matters.
Glamour,Sebastian,Ray R,4,3,4,Glamour,Max C,Message courier. Ray relays briefings without names.
Glamour,Sebastian,Ray R,4,3,5,Glamour,GI J,Silent respect. GI drinks water; Ray never asks why.
Glamour,Sebastian,Ray R,4,3,6,Glamour,Parker S,Signal relay. Parker gives Ray dead-simple comms kits.
Glamour,Sebastian,Ray R,4,3,7,Glamour,Thor J,Problem removal. Thor breaks things; Ray removes witnesses.
Glamour,Sebastian,Ray R,4,3,8,Transcendence,Severin S,Crowd cover. Severin draws cameras; Ray moves unseen behind.
Glamour,Sebastian,Ray R,4,3,9,Transcendence,Bram W,"Ray and Bram keep it light: quick banter, mutual respect, and no pressure to perform."
Glamour,Sebastian,Ray R,4,3,10,Opulence,Colton C,"Ray and Colton keep it light: quick banter, mutual respect, and no pressure to perform."
Glamour,Sebastian,Danny M,4,4,1,Glamour,Cyrus K,Hardware wrangler. Cyrus gives him tools; Danny suspects them anyway.
Glamour,Sebastian,Danny M,4,4,2,Glamour,London F,Voice mirror. Danny imitates; London notices every drift.
Glamour,Sebastian,Danny M,4,4,3,Glamour,Ray R,Safe talk. Ray listens; Danny tests him with fake stories.
Glamour,Sebastian,Danny M,4,4,4,Glamour,Max C,Decoy play. Max uses Danny’s mimicry to reshape a scene.
Glamour,Sebastian,Danny M,4,4,5,Glamour,GI J,Reality check. GI shuts down Danny’s spirals with one word.
Glamour,Sebastian,Danny M,4,4,6,Glamour,Parker S,Tech co-pilot. Parker runs signals; Danny runs the human layer.
Glamour,Sebastian,Danny M,4,4,7,Glamour,Thor J,Blast paranoia. Danny hates the noise; Thor doesn’t care.
Glamour,Sebastian,Danny M,4,4,8,Transcendence,Severin S,Public script. Danny teaches him lines that hide truth.
Glamour,Sebastian,Danny M,4,4,9,Eloquence,Peter G,They share a dry humor that shows up in short lines and longer pauses.
Glamour,Sebastian,Danny M,4,4,10,Transcendence,Delman B,Delman brings energy; Danny brings calm. It’s a balance that just works.
Glamour,Sebastian,Max C,4,5,1,Glamour,Cyrus K,Loadout gate. Cyrus insists on receipts; Max insists on speed.
Glamour,Sebastian,Max C,4,5,2,Glamour,London F,Close-quarters anchor. London keeps the team sharp and quiet.
Glamour,Sebastian,Max C,4,5,3,Glamour,Ray R,External channel. Ray is Max’s off-grid intake.
Glamour,Sebastian,Max C,4,5,4,Glamour,Danny M,Mask artist. Danny becomes whoever Max needs for five minutes.
Glamour,Sebastian,Max C,4,5,5,Glamour,GI J,Unseen finisher. GI closes angles Max can’t see.
Glamour,Sebastian,Max C,4,5,6,Glamour,Parker S,Signal leash. Parker keeps Max connected in the chaos.
Glamour,Sebastian,Max C,4,5,7,Glamour,Thor J,Demolition timing. Thor makes the door; Max chooses the second.
Glamour,Sebastian,Max C,4,5,8,Transcendence,Severin S,Spotlight diversion. Severin steals eyes while Max steals exits.
Glamour,Sebastian,Max C,4,5,9,Prominence,Brick D,Brick brings energy; Max brings calm. It’s a balance that just works.
Glamour,Sebastian,Max C,4,5,10,Cunning,Alex L,Max trusts Alex’s read of a room. Even disagreements stay clean.
Glamour,Sebastian,GI J,4,6,1,Glamour,Cyrus K,Quality bar. GI judges Cyrus’s kits without commentary.
Glamour,Sebastian,GI J,4,6,2,Glamour,London F,Blade discipline. London keeps GI’s violence controlled.
Glamour,Sebastian,GI J,4,6,3,Glamour,Ray R,Quiet logistics. Ray knows GI’s schedule better than GI does.
Glamour,Sebastian,GI J,4,6,4,Glamour,Danny M,"Paranoia foil. GI humors him once, then ends it."
Glamour,Sebastian,GI J,4,6,5,Glamour,Max C,Orders only. Max talks; GI moves.
Glamour,Sebastian,GI J,4,6,6,Glamour,Parker S,Comms patience. Parker’s chatter meets GI’s stare.
Glamour,Sebastian,GI J,4,6,7,Glamour,Thor J,Damage control. Thor breaks cover; GI clears the remainder.
Glamour,Sebastian,GI J,4,6,8,Transcendence,Severin S,Public handshake. Severin keeps GI off camera.
Glamour,Sebastian,GI J,4,6,9,Cunning,Ramon N,"GI and Ramon click through routine—small check-ins, small favors, no speeches."
Glamour,Sebastian,GI J,4,6,10,Opulence,Adam L,"GI and Adam click through routine—small check-ins, small favors, no speeches."
Glamour,Sebastian,Parker S,4,7,1,Glamour,Cyrus K,Base node. Cyrus gives access; Parker upgrades it overnight.
Glamour,Sebastian,Parker S,4,7,2,Glamour,London F,Discipline coach. London demands silence; Parker tries.
Glamour,Sebastian,Parker S,4,7,3,Glamour,Ray R,Field relay. Ray is Parker’s analog fallback.
Glamour,Sebastian,Parker S,4,7,4,Glamour,Danny M,Surveillance sibling. They trade eyes and ears.
Glamour,Sebastian,Parker S,4,7,5,Glamour,Max C,Mission hype. Max plays it big; Parker rides the adrenaline.
Glamour,Sebastian,Parker S,4,7,6,Glamour,GI J,Noise deterrent. GI’s calm keeps Parker steady.
Glamour,Sebastian,Parker S,4,7,7,Glamour,Thor J,Safety margins. Parker hates sparks near servers; Thor laughs.
Glamour,Sebastian,Parker S,4,7,8,Transcendence,Severin S,Media misdirection. Parker routes feeds; Severin sells the story.
Glamour,Sebastian,Parker S,4,7,9,Opulence,Tommy P,"Parker and Tommy keep it light: quick banter, mutual respect, and no pressure to perform."
Glamour,Sebastian,Parker S,4,7,10,Affluence,Jodie J,"Parker and Jodie keep it light: quick banter, mutual respect, and no pressure to perform."
Glamour,Sebastian,Thor J,4,8,1,Glamour,Cyrus K,"Explosives gate. Cyrus rationed; Thor complains, obeys."
Glamour,Sebastian,Thor J,4,8,2,Glamour,London F,Training debt. London makes Thor practice quiet entries.
Glamour,Sebastian,Thor J,4,8,3,Glamour,Ray R,Cleanup pact. Ray handles the mess; Thor handles the wall.
Glamour,Sebastian,Thor J,4,8,4,Glamour,Danny M,Conspiracy bait. Thor jokes; Danny believes half of it.
Glamour,Sebastian,Thor J,4,8,5,Glamour,Max C,Breach tempo. Max calls the beat; Thor hits it.
Glamour,Sebastian,Thor J,4,8,6,Glamour,GI J,Old-hand respect. GI doesn’t flinch; Thor does.
Glamour,Sebastian,Thor J,4,8,7,Glamour,Parker S,Base-friendly rule. Parker locks him out of certain corridors.
Glamour,Sebastian,Thor J,4,8,8,Transcendence,Severin S,Damage optics. Severin keeps headlines off Thor’s work.
Glamour,Sebastian,Thor J,4,8,9,Imperium,Logan X,"Thor and Logan keep it light: quick banter, mutual respect, and no pressure to perform."
Glamour,Sebastian,Thor J,4,8,10,Opulence,Adam L,Adam brings energy; Thor brings calm. It’s a balance that just works.
Prominence,Dan,Richard G,5,1,1,Prominence,Tommy W,Field shield. Richard sends him to keep meetings quiet.
Prominence,Dan,Richard G,5,1,2,Prominence,Ryan D,Systems engineer. Trusts his code; pushes hard.
Prominence,Dan,Richard G,5,1,3,Prominence,Oliver F,Ops filter. Keeps schedules and optics in line.
Prominence,Dan,Richard G,5,1,4,Prominence,Codey S,Gremlin asset. Useful when deniable is required.
Prominence,Dan,Richard G,5,1,5,Prominence,Brick D,Force option. Called when subtlety is over.
Prominence,Dan,Richard G,5,1,6,Prominence,Dan D,New blood. Keeps him busy and pointed forward.
Prominence,Dan,Richard G,5,1,7,Prominence,Sam S,Security brain. Gives him impossible deadlines.
Prominence,Dan,Richard G,5,1,8,Transcendence,Tate H,Sixth ranger. Grounds plans without chasing credit.
Prominence,Dan,Richard G,5,1,9,Glamour,Cyrus K,Richard likes how Cyrus stays steady. It makes the time together feel simpler.
Prominence,Dan,Richard G,5,1,10,Opulence,Jason S,They share a dry humor that shows up in short lines and longer pauses.
Prominence,Dan,Tommy W,5,2,1,Prominence,Richard G,Primary client. Keeps him safe and moving.
Prominence,Dan,Tommy W,5,2,2,Prominence,Ryan D,Tech node. Uses Ryan's gear; expects fast fixes.
Prominence,Dan,Tommy W,5,2,3,Prominence,Oliver F,VIP handler. Escorts Oliver; reads his panic.
Prominence,Dan,Tommy W,5,2,4,Prominence,Codey S,Risk magnet. Watches him like a hawk.
Prominence,Dan,Tommy W,5,2,5,Prominence,Brick D,Weight class. Commands him in a pinch.
Prominence,Dan,Tommy W,5,2,6,Prominence,Dan D,Liability. Babysits him through messes.
Prominence,Dan,Tommy W,5,2,7,Prominence,Sam S,Checkpoint. Clears badges and doors.
Prominence,Dan,Tommy W,5,2,8,Transcendence,Tate H,Mutual respect. Tate plans exits; Tommy executes.
Prominence,Dan,Tommy W,5,2,9,Opulence,Jay P,They’re the kind of link that can go quiet for weeks and still feel normal after.
Prominence,Dan,Tommy W,5,2,10,Glamour,London F,"Tommy and London click through routine—small check-ins, small favors, no speeches."
Prominence,Dan,Ryan D,5,3,1,Prominence,Richard G,Quiet authority. Ryan backs him without saying it.
Prominence,Dan,Ryan D,5,3,2,Prominence,Codey S,Rival spark. Competes in silence; learns anyway.
Prominence,Dan,Ryan D,5,3,3,Prominence,Tommy W,Hardware user. Demands now and gets it.
Prominence,Dan,Ryan D,5,3,4,Prominence,Oliver F,Spreadsheet hunter. Ryan dodges the inbox.
Prominence,Dan,Ryan D,5,3,5,Prominence,Sam S,Security partner. Trusts his discipline.
Prominence,Dan,Ryan D,5,3,6,Prominence,Dan D,Junior protégé. Teaches him just enough.
Prominence,Dan,Ryan D,5,3,7,Prominence,Brick D,Walking interruption. Keeps distance.
Prominence,Dan,Ryan D,5,3,8,Transcendence,Tate H,Ops translator. Asks the right failure questions.
Prominence,Dan,Ryan D,5,3,9,Eloquence,Tony M,"Ryan and Tony keep it light: quick banter, mutual respect, and no pressure to perform."
Prominence,Dan,Ryan D,5,3,10,Cunning,Danny S,Danny brings energy; Ryan brings calm. It’s a balance that just works.
Prominence,Dan,Oliver F,5,4,1,Prominence,Richard G,Time owner. Oliver protects his calendar.
Prominence,Dan,Oliver F,5,4,2,Prominence,Sam S,Throughput. Overworks him and calls it strategy.
Prominence,Dan,Oliver F,5,4,3,Prominence,Dan D,Runner. Assigns the messy tasks.
Prominence,Dan,Oliver F,5,4,4,Prominence,Tommy W,Door policy. Calls him when optics get risky.
Prominence,Dan,Oliver F,5,4,5,Prominence,Ryan D,Metrics demand. Wants dashboards yesterday.
Prominence,Dan,Oliver F,5,4,6,Prominence,Codey S,Problem child. Tries to cage him; fails.
Prominence,Dan,Oliver F,5,4,7,Prominence,Brick D,Avoids. Doesn't like being near him.
Prominence,Dan,Oliver F,5,4,8,Transcendence,Tate H,Spreadsheet ally. Tate speaks risk and timeline.
Prominence,Dan,Oliver F,5,4,9,Cunning,Alex L,Alex brings energy; Oliver brings calm. It’s a balance that just works.
Prominence,Dan,Oliver F,5,4,10,Opulence,Juan L,"Oliver and Juan click through routine—small check-ins, small favors, no speeches."
Prominence,Dan,Codey S,5,5,1,Prominence,Ryan D,Rival. Competes; steals ideas with his eyes.
Prominence,Dan,Codey S,5,5,2,Prominence,Richard G,Boss. Codey hacks around the rules.
Prominence,Dan,Codey S,5,5,3,Prominence,Oliver F,Paper tyrant. Pranks him for sport.
Prominence,Dan,Codey S,5,5,4,Prominence,Tommy W,Narc. Stays out of his line of sight.
Prominence,Dan,Codey S,5,5,5,Prominence,Dan D,New kid. Pulls him into chaos.
Prominence,Dan,Codey S,5,5,6,Prominence,Sam S,Security buddy. Swaps shortcuts and patches.
Prominence,Dan,Codey S,5,5,7,Prominence,Brick D,Wall. Doesn't move him.
Prominence,Dan,Codey S,5,5,8,Transcendence,Tate H,Hobby link. Models and LARP talk keep it human.
Prominence,Dan,Codey S,5,5,9,Affluence,Matty I,"Codey and Matty click through routine—small check-ins, small favors, no speeches."
Prominence,Dan,Codey S,5,5,10,Transcendence,Rian R,Codey likes how Rian stays steady. It makes the time together feel simpler.
Prominence,Dan,Brick D,5,6,1,Prominence,Richard G,Package. Brick protects him; obeys.
Prominence,Dan,Brick D,5,6,2,Prominence,Tommy W,Orders from. Respects strength and certainty.
Prominence,Dan,Brick D,5,6,3,Prominence,Dan D,Pest. One glare ends it.
Prominence,Dan,Brick D,5,6,4,Prominence,Ryan D,Nerd. Brick ignores the numbers.
Prominence,Dan,Brick D,5,6,5,Prominence,Oliver F,Suit. Brick ignores the rules.
Prominence,Dan,Brick D,5,6,6,Prominence,Codey S,Punk. Brick watches for trouble.
Prominence,Dan,Brick D,5,6,7,Prominence,Sam S,Worker. Brick barely notices.
Prominence,Dan,Brick D,5,6,8,Transcendence,Tate H,Calm handler. Tate asks without poking the bear.
Prominence,Dan,Brick D,5,6,9,Glamour,Max C,Max brings energy; Brick brings calm. It’s a balance that just works.
Prominence,Dan,Brick D,5,6,10,Cunning,Brock C,Brock brings energy; Brick brings calm. It’s a balance that just works.
Prominence,Dan,Dan D,5,7,1,Prominence,Oliver F,Taskmaster. Dumps work on him with a smile.
Prominence,Dan,Dan D,5,7,2,Prominence,Sam S,Peer. Shares complaints and late shifts.
Prominence,Dan,Dan D,5,7,3,Prominence,Codey S,North star. Learns tricks and tempo.
Prominence,Dan,Dan D,5,7,4,Prominence,Ryan D,Mentor. Teaches him the clean way to win.
Prominence,Dan,Dan D,5,7,5,Prominence,Tommy W,Shadow. Terrified of the quiet threat.
Prominence,Dan,Dan D,5,7,6,Prominence,Brick D,Monster. Avoids him on instinct.
Prominence,Dan,Dan D,5,7,7,Prominence,Richard G,Authority aura. Dan tries not to disappoint.
Prominence,Dan,Dan D,5,7,8,Transcendence,Tate H,Big-bro energy. Pulls him into model builds.
Prominence,Dan,Dan D,5,7,9,Imperium,Ryan L,Ryan brings energy; Dan brings calm. It’s a balance that just works.
Prominence,Dan,Dan D,5,7,10,Opulence,Jason S,Dan likes how Jason stays steady. It makes the time together feel simpler.
Prominence,Dan,Sam S,5,8,1,Prominence,Oliver F,Drive whip. Sam resents the pace.
Prominence,Dan,Sam S,5,8,2,Prominence,Dan D,Break buddy. Teaches him to rest smarter.
Prominence,Dan,Sam S,5,8,3,Prominence,Ryan D,Tech partner. Lets Ryan test in the wild.
Prominence,Dan,Sam S,5,8,4,Prominence,Codey S,Chaos engine. Sam covers the traces.
Prominence,Dan,Sam S,5,8,5,Prominence,Tommy W,Checkpoint. Sam keeps it clean and calm.
Prominence,Dan,Sam S,5,8,6,Prominence,Brick D,Wall. Sam walks around him.
Prominence,Dan,Sam S,5,8,7,Prominence,Richard G,Directive source. Never sure if it's a test.
Prominence,Dan,Sam S,5,8,8,Transcendence,Tate H,"Safety buddy. Checks gear, keeps routines steady."
Prominence,Dan,Sam S,5,8,9,Transcendence,Thomas B,"Sam and Thomas keep it light: quick banter, mutual respect, and no pressure to perform."
Prominence,Dan,Sam S,5,8,10,Opulence,Ridge C,They’re the kind of link that can go quiet for weeks and still feel normal after.
Imperium,Nick,Logan X,6,1,1,Imperium,Josh R,Logan quietly makes sure Josh never has to choose between feeding people and feeding himself; Josh repays it with loyalty he never announces.
Imperium,Nick,Logan X,6,1,2,Imperium,Kyle M,Kyle’s calm reads through Logan’s hustle. Logan trusts Kyle’s compass even when he pretends he doesn’t need one.
Imperium,Nick,Logan X,6,1,3,Imperium,Luke C,"Luke doesn’t like Logan’s gray routes, but he respects that Logan keeps his word once it’s given. Logan treats Luke’s code like a boundary line, not a suggestion."
Imperium,Nick,Logan X,6,1,4,Imperium,Zack D,Zack sees Logan as a test of strength and discipline—someone to size up. Logan reads Zack’s hunger and keeps their dealings short and clean.
Imperium,Nick,Logan X,6,1,5,Imperium,Chase A,"Chase is the kind of useful that makes Logan uneasy. They trade favors like lab samples: labeled, sealed, and never discussed twice."
Imperium,Nick,Logan X,6,1,6,Imperium,Johnny L,Johnny wants stories; Logan wants misdirection. Each thinks they’re the one holding the leash.
Imperium,Nick,Logan X,6,1,7,Imperium,Ryan L,"Ryan turns Logan’s world into a moving target with pranks and noise. Logan lets him, because sometimes chaos is cover."
Imperium,Nick,Logan X,6,1,8,Transcendence,Thomas B,"Thomas watches Logan like an old file that keeps resurfacing. Logan can’t place why, but the pressure in the room always changes when Thomas arrives."
Imperium,Nick,Logan X,6,1,9,Glamour,Thor J,"Logan and Thor keep it light: quick banter, mutual respect, and no pressure to perform."
Imperium,Nick,Logan X,6,1,10,Transcendence,Tate H,Logan trusts Tate’s read of a room. Even disagreements stay clean.
Imperium,Nick,Josh R,6,2,1,Imperium,Logan X,Logan is the quiet safety net Josh won’t admit he needs. Josh tries to repay him with honest work and consistent results.
Imperium,Nick,Josh R,6,2,2,Imperium,Kyle M,"Kyle treats Josh like a younger brother—steady voice, steady pace. When Josh spirals, Kyle is the one who pulls him back to air."
Imperium,Nick,Josh R,6,2,3,Imperium,Luke C,"Luke makes sure Josh’s work stays protected under house rules and clean procedures. Josh trusts Luke’s structure, even when it feels like a spotlight."
Imperium,Nick,Josh R,6,2,4,Imperium,Zack D,"Zack’s ‘training advice’ comes off harsh, but it’s protection in disguise. Josh is scared of him on bad days—and grateful on worse ones."
Imperium,Nick,Josh R,6,2,5,Imperium,Chase A,"Chase studies everything, including people. Josh hates being analyzed, but Chase’s fixes often work too well to ignore."
Imperium,Nick,Josh R,6,2,6,Imperium,Johnny L,"Johnny turns every meal into an event. Josh keeps him fed anyway, because the house runs on momentum and Johnny sells momentum."
Imperium,Nick,Josh R,6,2,7,Imperium,Ryan L,"Ryan steals snacks and calls it art. Josh scolds him like a parent, then leaves an extra plate out like a friend."
Imperium,Nick,Josh R,6,2,8,Transcendence,Thomas B,"Thomas treats Josh like a key witness long before Josh understands why. The professionalism is cold, but the protection is real."
Imperium,Nick,Josh R,6,2,9,Cunning,Andrew B,They’re the kind of link that can go quiet for weeks and still feel normal after.
Imperium,Nick,Josh R,6,2,10,Opulence,Colton C,"Josh and Colton click through routine—small check-ins, small favors, no speeches."
Imperium,Nick,Kyle M,6,3,1,Imperium,Logan X,"Kyle calls Logan out when the hustle turns ugly, and Logan listens more than he admits. Kyle is the rare person Logan won’t try to ‘outplay.’"
Imperium,Nick,Kyle M,6,3,2,Imperium,Josh R,"Kyle keeps Josh breathing when pressure spikes. He’s the one who says, ‘Eat, sleep, then think,’ and means it."
Imperium,Nick,Kyle M,6,3,3,Imperium,Luke C,Kyle thinks Luke’s rules can become cages; Luke thinks Kyle’s freedom can become risk. They meet in the middle when someone’s safety is on the line.
Imperium,Nick,Kyle M,6,3,4,Imperium,Zack D,Kyle is one of the few who can spar with Zack without turning it personal. He teaches restraint by making it look effortless.
Imperium,Nick,Kyle M,6,3,5,Imperium,Chase A,Kyle senses Chase’s distance and tries to pull him back toward people. Chase calls it noise; Kyle calls it survival.
Imperium,Nick,Kyle M,6,3,6,Imperium,Johnny L,Johnny wants a stage; Kyle wants an exit route. Together they can move a crowd without starting a panic.
Imperium,Nick,Kyle M,6,3,7,Imperium,Ryan L,"Ryan’s chaos doesn’t bother Kyle as long as nobody gets hurt. Kyle laughs once, then quietly checks the perimeter."
Imperium,Nick,Kyle M,6,3,8,Transcendence,Thomas B,Thomas trusts Kyle’s eyes on the street and park routes. Kyle trusts Thomas’s silence—because silence is what keeps people alive.
Imperium,Nick,Kyle M,6,3,9,Eloquence,Karter H,Kyle likes how Karter stays steady. It makes the time together feel simpler.
Imperium,Nick,Kyle M,6,3,10,Opulence,Tommy P,They share a dry humor that shows up in short lines and longer pauses.
Imperium,Nick,Luke C,6,4,1,Imperium,Logan X,"Luke keeps Logan at arm’s length, then uses him when the house needs a discreet solution. Logan respects Luke’s boundaries because Luke enforces them."
Imperium,Nick,Luke C,6,4,2,Imperium,Josh R,Josh follows rules without needing threats. Luke protects that kind of reliability like it’s part of the constitution.
Imperium,Nick,Luke C,6,4,3,Imperium,Kyle M,"Kyle is the walking exception Luke can’t file neatly. Luke argues with him, then still calls him first when things turn physical."
Imperium,Nick,Luke C,6,4,4,Imperium,Zack D,"Luke is Zack’s restraint system—paperwork, procedure, and consequence. Zack hates it, but he listens."
Imperium,Nick,Luke C,6,4,5,Imperium,Chase A,Luke gives Chase exit clauses and controlled permissions so Chase doesn’t become a liability. Chase pretends not to care; the structure still keeps him tethered.
Imperium,Nick,Luke C,6,4,6,Imperium,Johnny L,"Luke drafts limits for Johnny like guardrails on a bridge. Johnny complains, then follows them when it matters."
Imperium,Nick,Luke C,6,4,7,Imperium,Ryan L,"Ryan tests Luke’s patience for sport. Luke doesn’t smile, but he always spots the real problem behind the joke."
Imperium,Nick,Luke C,6,4,8,Transcendence,Thomas B,Thomas respects Luke’s documentation and calm. Luke respects Thomas’s discipline—two men who speak fluently in ‘proof.’
Imperium,Nick,Luke C,6,4,9,Eloquence,Joe B,"Luke and Joe keep it light: quick banter, mutual respect, and no pressure to perform."
Imperium,Nick,Luke C,6,4,10,Cunning,Max S,Luke trusts Max’s read of a room. Even disagreements stay clean.
Imperium,Nick,Zack D,6,5,1,Imperium,Logan X,"Zack doesn’t like owing favors, especially to someone who lives in shadows. Logan keeps deals clean; Zack keeps his word once the deal is made."
Imperium,Nick,Zack D,6,5,2,Imperium,Josh R,"Zack acts like Josh annoys him, then shows up the second Josh looks cornered. Protection is easier for Zack than affection."
Imperium,Nick,Zack D,6,5,3,Imperium,Kyle M,Kyle can cool Zack down without humiliating him. Zack trusts Kyle’s strength because Kyle doesn’t need to announce it.
Imperium,Nick,Zack D,6,5,4,Imperium,Luke C,Luke’s rules keep Zack from crossing lines he can’t walk back. Zack respects Luke because Luke never blinks when he says ‘no.’
Imperium,Nick,Zack D,6,5,5,Imperium,Chase A,"Chase is useful for cleanup and ‘solutions,’ which makes Zack wary. Zack keeps Chase close enough to control, far enough to blame."
Imperium,Nick,Zack D,6,5,6,Imperium,Johnny L,Johnny talks too much and draws too much light. Zack uses that… and also threatens to shut it down when it risks the house.
Imperium,Nick,Zack D,6,5,7,Imperium,Ryan L,Ryan’s pranks irritate Zack—until a prank becomes a perfect distraction. Zack hates that it works.
Imperium,Nick,Zack D,6,5,8,Transcendence,Thomas B,Thomas reads Zack like a suspect and a soldier at the same time. Zack can’t decide whether to respect him or challenge him.
Imperium,Nick,Zack D,6,5,9,Eloquence,Karter H,Zack likes how Karter stays steady. It makes the time together feel simpler.
Imperium,Nick,Zack D,6,5,10,Eloquence,Xano D,They share a dry humor that shows up in short lines and longer pauses.
Imperium,Nick,Chase A,6,6,1,Imperium,Logan X,Logan can get what Chase can’t order openly. Chase repays him with fixes that leave no residue—and no explanation.
Imperium,Nick,Chase A,6,6,2,Imperium,Josh R,"Josh cooks with instinct; Chase cooks with measurements. Josh rolls his eyes, then admits the results are better."
Imperium,Nick,Chase A,6,6,3,Imperium,Kyle M,"Kyle keeps asking Chase ‘why’ in a way that isn’t about chemicals. Chase pretends it’s pointless, then answers anyway."
Imperium,Nick,Chase A,6,6,4,Imperium,Luke C,"Luke gives Chase controlled lanes to operate in. Chase dislikes rules, but he dislikes chaos even more."
Imperium,Nick,Chase A,6,6,5,Imperium,Zack D,Zack is Chase’s blunt instrument when pressure needs a physical answer. Chase is Zack’s quiet cleanup when pressure needs to disappear.
